Timestamp,Acc_X,Acc_Y,Acc_Z,DB_Level
1771621882908,0.0000,0.0000,0.0000,0.00
1771621883043,0.0644,0.0576,0.0729,0.00
1771621883249,-0.0069,0.0233,0.0558,0.00
1771621883459,-0.1196,0.1246,-0.0009,0.00
1771621883665,-0.0892,0.0568,-0.0712,0.00
1771621883794,-0.0892,0.0568,-0.0712,53.94
1771621883875,0.1336,-0.1437,0.0741,53.94
1771621883932,0.1336,-0.1437,0.0741,39.91
1771621884089,0.1100,-0.1019,0.0257,39.91
1771621884120,0.1100,-0.1019,0.0257,42.08
1771621884257,0.1100,-0.1019,0.0257,47.16
1771621884292,-0.0179,-0.1231,0.0609,47.16
1771621884399,-0.0179,-0.1231,0.0609,90.31
